Team1,Team2,odd1,odd2,league,date
15:00,"Peschke, K / Petkovic A","Fichman, S / Olmos G",2.81,1.38,"Tennis - WTA, Chicago 2, Usa, Doubles ",Tue 28.09
17:30,"Linette, M / Rosolska, A","Muhammad, A / Pegula, J",2.56,1.45,"Tennis - WTA, Chicago 2, Usa, Doubles ",Tue 28.09
17:45,"Clijsters, K / Flipkens K",Frech M/Kawa K,1.85,1.85,"Tennis - WTA, Chicago 2, Usa, Doubles ",Tue 28.09
18:45,"Bouzkova, M / Hradecka, L","Eikeri, U / Harrison, C",1.25,3.56,"Tennis - WTA, Chicago 2, Usa, Doubles ",Tue 28.09
15:00,KichenokN/Olaru R,"Christian, K / Routliffe E",1.50,2.41,"Tennis - WTA, Chicago 2, Usa, Doubles ",Wed 29.09
15:00,"Dolehide, C / Vandeweghe C","Mirza, S / Zhang, S",2.69,1.41,"Tennis - WTA, Chicago 2, Usa, Doubles ",Wed 29.09
15:00,"Ninomiya, M / Santamaria, S","Neel, I / Rodionova An",1.60,2.19,"Tennis - WTA, Chicago 2, Usa, Doubles ",Wed 29.09
15:00,"Hsieh, S W / Mertens, E","Golubic, V / Teichmann, J",1.29,3.27,"Tennis - WTA, Chicago 2, Usa, Doubles ",Wed 29.09
15:25,"Lapko, V / Marozava, L","Bhosale, R / Webley-Smith, E",1.24,3.64,"Tennis - WTA, Nur Sultan, Kazakhstan, Doubles ",Tue 28.09
15:30,"Dzalamidze, N / Juvan K","Gasanova, A / Vikhlyantseva N",1.49,2.44,"Tennis - WTA, Nur Sultan, Kazakhstan, Doubles ",Tue 28.09
04:00,Friedsam/Niculesc,"Chursina, S / Dmitrichenko, Y",1.02,9.94,"Tennis - WTA, Nur Sultan, Kazakhstan, Doubles ",Wed 29.09
04:00,"Gabueva, A / Zakharova A","Gracheva, V / Kalashnikova, O",2.65,1.42,"Tennis - WTA, Nur Sultan, Kazakhstan, Doubles ",Wed 29.09
